date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-02 00:00:00+00:00,43.67,43.72,41.19,41.54,36355181,42.6462036979,42.6950315016,40.2243446374,40.5661392629,36355181,0.0,1.0
2018-01-03 00:00:00+00:00,44.98,45.05,44.05,44.5,42704755,43.9254921532,43.9938510783,43.0172950056,43.4567452383,42704755,0.0,1.0
2018-01-04 00:00:00+00:00,46.88,46.98,45.01,45.99,51498192,45.7809486915,45.8786042988,43.9547888354,44.9118137867,51498192,0.0,1.0
2018-01-05 00:00:00+00:00,45.8,46.66,45.38,46.13,46472129,44.7262681329,45.5661063555,44.3161145824,45.0485316369,46472129,0.0,1.0
2018-01-08 00:00:00+00:00,45.55,46.09,44.91,45.31,31682770,44.4821291147,45.009469394,43.8571332282,44.2477556573,31682770,0.0,1.0
2018-01-09 00:00:00+00:00,42.97,45.55,42.77,45.27,62497375,41.962614447,44.4821291147,41.7673032324,44.2086934144,62497375,0.0,1.0
2018-01-10 00:00:00+00:00,43.31,43.37,41.39,41.95,52765574,42.2946435117,42.3532368761,40.419655852,40.9665272528,52765574,0.0,1.0
2018-01-11 00:00:00+00:00,42.82,44.0,42.62,43.52,38473419,41.8161310361,42.9684672019,41.6208198215,42.499720287,38473419,0.0,1.0
2018-01-12 00:00:00+00:00,42.81,43.35,42.68,42.82,28009649,41.8063654753,42.3337057546,41.6794131859,41.8161310361,28009649,0.0,1.0
2018-01-16 00:00:00+00:00,42.92,43.86,42.42,43.14,37382456,41.9137866433,42.8317493517,41.425508607,42.1286289793,37382456,0.0,1.0
2018-01-17 00:00:00+00:00,44.26,44.38,42.98,43.21,37866283,43.2223717809,43.3395585096,41.9723800077,42.1969879044,37866283,0.0,1.0
2018-01-18 00:00:00+00:00,43.99,44.65,43.91,44.21,24721912,42.9587016412,43.6032286492,42.8805771554,43.1735439772,24721912,0.0,1.0
2018-01-19 00:00:00+00:00,42.75,44.2,42.65,43.95,40935590,41.747772111,43.1637784165,41.6501165037,42.9196393983,40935590,0.0,1.0
2018-01-22 00:00:00+00:00,42.88,42.88,41.68,42.47,37529652,41.8747244004,41.8747244004,40.7028571131,41.4743364106,37529652,0.0,1.0
2018-01-23 00:00:00+00:00,43.95,44.66,42.73,43.25,40315114,42.9196393983,43.61299421,41.7282409895,42.2360501474,40315114,0.0,1.0
2018-01-24 00:00:00+00:00,43.08,43.95,42.74,43.76,30223262,42.070035615,42.9196393983,41.7380065502,42.7340937445,30223262,0.0,1.0
2018-01-25 00:00:00+00:00,43.01,44.72,42.86,44.23,40000694,42.0016766899,43.6715875743,41.855193279,43.1930750987,40000694,0.0,1.0
2018-01-26 00:00:00+00:00,43.67,43.81,43.03,43.22,26938055,42.6462036979,42.7829215481,42.0212078113,42.2067534652,26938055,0.0,1.0
2018-01-29 00:00:00+00:00,43.29,43.42,42.38,43.25,29018760,42.2751123903,42.4020646797,41.386446364,42.2360501474,29018760,0.0,1.0
2018-01-30 00:00:00+00:00,41.67,42.8,41.47,41.99,37707881,40.6930915524,41.7965999146,40.4977803378,41.0055894957,37707881,0.0,1.0
2018-01-31 00:00:00+00:00,43.72,43.96,42.77,42.98,44434889,42.6950315016,42.929404959,41.7673032324,41.9723800077,44434889,0.0,1.0
2018-02-01 00:00:00+00:00,42.49,44.09,42.1,43.04,34841595,41.493867532,43.0563572485,41.1130106637,42.0309733721,34841595,0.0,1.0
2018-02-02 00:00:00+00:00,40.82,42.21,40.61,42.0,40368162,39.8630188905,41.2204318317,39.6579421152,41.0153550564,40368162,0.0,1.0
2018-02-05 00:00:00+00:00,39.4,41.53,39.01,40.14,42350408,38.4763092672,40.5563737022,38.0954523988,39.198960761,42350408,0.0,1.0
2018-02-06 00:00:00+00:00,43.88,43.93,40.55,40.55,66061066,42.8512804732,42.9001082768,39.5993487509,39.5993487509,66061066,0.0,1.0
2018-02-07 00:00:00+00:00,42.01,43.56,41.74,43.26,50272933,41.0251206171,42.5387825299,40.7614504775,42.2458157081,50272933,0.0,1.0
