date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2018-01-02 00:00:00+00:00,105.49,105.72,101.02,101.59,1395289,10.549,10.572,10.102,10.159,13952890,0.0,1.0
2018-01-03 00:00:00+00:00,107.75,108.12,106.17,106.36,1162802,10.775,10.812,10.617,10.636,11628020,0.0,1.0
2018-01-04 00:00:00+00:00,109.95,110.06,107.21,108.33,1160999,10.995,11.006,10.721,10.833,11609990,0.0,1.0
2018-01-05 00:00:00+00:00,110.58,111.77,109.02,110.55,771047,11.058,11.177,10.902,11.055,7710470,0.0,1.0
2018-01-08 00:00:00+00:00,112.35,112.69,109.99,109.99,748802,11.235,11.269,10.999,10.999,7488020,0.0,1.0
2018-01-09 00:00:00+00:00,110.73,113.67,109.73,112.35,744664,11.073,11.367,10.973,11.235,7446640,0.0,1.0
2018-01-10 00:00:00+00:00,111.0,111.46,109.0,109.7,668180,11.1,11.146,10.9,10.97,6681800,0.0,1.0
2018-01-11 00:00:00+00:00,111.13,111.75,110.5,111.07,639976,11.113,11.175,11.05,11.107,6399760,0.0,1.0
2018-01-12 00:00:00+00:00,112.8,114.5,111.09,111.29,845996,11.28,11.45,11.109,11.129,8459960,0.0,1.0
2018-01-16 00:00:00+00:00,111.92,114.66,111.18,114.65,1175528,11.192,11.466,11.118,11.465,11755280,0.0,1.0
2018-01-17 00:00:00+00:00,114.91,115.84,111.48,112.56,1226476,11.491,11.584,11.148,11.256,12264760,0.0,1.0
2018-01-18 00:00:00+00:00,114.8,116.73,114.07,114.48,697662,11.48,11.673,11.407,11.448,6976620,0.0,1.0
2018-01-19 00:00:00+00:00,115.48,115.81,114.6,115.1,692931,11.548,11.581,11.46,11.51,6929310,0.0,1.0
2018-01-22 00:00:00+00:00,119.43,119.65,115.44,115.44,1180366,11.943,11.965,11.544,11.544,11803660,0.0,1.0
2018-01-23 00:00:00+00:00,118.69,120.06,115.8,119.71,1135181,11.869,12.006,11.58,11.971,11351810,0.0,1.0
2018-01-24 00:00:00+00:00,119.67,121.95,118.25,119.75,1023774,11.967,12.195,11.825,11.975,10237740,0.0,1.0
2018-01-25 00:00:00+00:00,124.9,126.24,120.33,121.0,1940557,12.49,12.624,12.033,12.1,19405570,0.0,1.0
2018-01-26 00:00:00+00:00,129.07,130.47,124.0,126.36,2037422,12.907,13.047,12.4,12.636,20374220,0.0,1.0
2018-01-29 00:00:00+00:00,127.3,129.97,125.22,129.7,1721470,12.73,12.997,12.522,12.97,17214700,0.0,1.0
2018-01-30 00:00:00+00:00,124.21,125.83,119.09,121.7,1737938,12.421,12.583,11.909,12.17,17379380,0.0,1.0
2018-01-31 00:00:00+00:00,127.92,128.59,125.58,126.12,1217510,12.792,12.859,12.558,12.612,12175100,0.0,1.0
2018-02-01 00:00:00+00:00,126.28,131.159,125.7,127.03,1168111,12.628,13.1159,12.57,12.703,11681110,0.0,1.0
2018-02-02 00:00:00+00:00,125.12,128.68,123.8,125.5,1371170,12.512,12.868,12.38,12.55,13711700,0.0,1.0
2018-02-05 00:00:00+00:00,118.3,127.285,118.3,120.57,2324194,11.83,12.7285,11.83,12.057,23241940,0.0,1.0
2018-02-06 00:00:00+00:00,122.14,122.7,112.06,113.81,2705861,12.214,12.27,11.206,11.381,27058610,0.0,1.0
2018-02-07 00:00:00+00:00,123.34,127.7,121.41,122.75,1696012,12.334,12.77,12.141,12.275,16960120,0.0,1.0
2018-02-08 00:00:00+00:00,118.51,127.07,118.5,124.5,2102341,11.851,12.707,11.85,12.45,21023410,0.0,1.0
2018-02-09 00:00:00+00:00,119.55,123.93,114.16,120.74,2882546,11.955,12.393,11.416,12.074,28825460,0.0,1.0
2018-02-12 00:00:00+00:00,127.94,128.95,122.174,123.3,2702853,12.794,12.895,12.2174,12.33,27028530,0.0,1.0
2018-02-13 00:00:00+00:00,126.06,130.42,125.13,127.75,1987834,12.606,13.042,12.513,12.775,19878340,0.0,1.0
2018-02-14 00:00:00+00:00,137.56,138.16,125.02,125.1,4236825,13.756,13.816,12.502,12.51,42368250,0.0,1.0
2018-02-15 00:00:00+00:00,137.95,140.75,130.3,135.0,5776463,13.795,14.075,13.03,13.5,57764630,0.0,1.0
2018-02-16 00:00:00+00:00,137.53,138.66,134.11,135.49,2235332,13.753,13.866,13.411,13.549,22353320,0.0,1.0
2018-02-20 00:00:00+00:00,142.78,146.12,136.62,136.83,2714600,14.278,14.612,13.662,13.683,27146000,0.0,1.0
2018-02-21 00:00:00+00:00,132.9,137.34,132.77,136.75,5361191,13.29,13.734,13.277,13.675,53611910,0.0,1.0
2018-02-22 00:00:00+00:00,134.18,136.525,133.2,133.96,2410388,13.418,13.6525,13.32,13.396,24103880,0.0,1.0
2018-02-23 00:00:00+00:00,137.0,137.0,133.1,135.49,1622657,13.7,13.7,13.31,13.549,16226570,0.0,1.0
2018-02-26 00:00:00+00:00,136.27,138.32,135.14,137.52,1462636,13.627,13.832,13.514,13.752,14626360,0.0,1.0
2018-02-27 00:00:00+00:00,137.66,139.44,135.59,136.57,1483257,13.766,13.944,13.559,13.657,14832570,0.0,1.0
2018-02-28 00:00:00+00:00,138.21,140.5,137.93,139.29,1394962,13.821,14.05,13.793,13.929,13949620,0.0,1.0
2018-03-01 00:00:00+00:00,136.85,139.15,133.32,137.0,1802836,13.685,13.915,13.332,13.7,18028360,0.0,1.0
2018-03-02 00:00:00+00:00,136.75,137.5,134.47,135.0,1178770,13.675,13.75,13.447,13.5,11787700,0.0,1.0
2018-03-05 00:00:00+00:00,139.29,139.85,134.0,135.17,2026987,13.929,13.985,13.4,13.517,20269870,0.0,1.0
2018-03-06 00:00:00+00:00,141.51,143.37,139.72,140.15,1352423,14.151,14.337,13.972,14.015,13524230,0.0,1.0
2018-03-07 00:00:00+00:00,143.68,144.44,139.0,139.95,1486267,14.368,14.444,13.9,13.995,14862670,0.0,1.0
2018-03-08 00:00:00+00:00,147.41,148.02,144.62,144.62,1925242,14.741,14.802,14.462,14.462,19252420,0.0,1.0
2018-03-09 00:00:00+00:00,149.16,150.47,147.62,149.42,1418678,14.916,15.047,14.762,14.942,14186780,0.0,1.0
2018-03-12 00:00:00+00:00,148.15,150.15,147.38,149.73,791314,14.815,15.015,14.738,14.973,7913140,0.0,1.0
2018-03-13 00:00:00+00:00,145.32,148.753,144.51,148.6,1115615,14.532,14.8753,14.451,14.86,11156150,0.0,1.0
2018-03-14 00:00:00+00:00,146.25,148.12,143.88,145.61,971482,14.625,14.812,14.388,14.561,9714820,0.0,1.0
2018-03-15 00:00:00+00:00,147.41,149.0,146.2,147.75,866277,14.741,14.9,14.62,14.775,8662770,0.0,1.0
2018-03-16 00:00:00+00:00,147.22,148.14,145.36,147.21,639552,14.722,14.814,14.536,14.721,6395520,0.0,1.0
2018-03-19 00:00:00+00:00,145.62,148.19,142.93,145.9,1017626,14.562,14.819,14.293,14.59,10176260,0.0,1.0
2018-03-20 00:00:00+00:00,153.11,154.82,145.0,145.44,1904380,15.311,15.482,14.5,14.544,19043800,0.0,1.0
2018-03-21 00:00:00+00:00,149.4,154.0,148.26,153.54,1650241,14.94,15.4,14.826,15.354,16502410,0.0,1.0
2018-03-22 00:00:00+00:00,145.45,152.8,145.33,147.51,1812936,14.545,15.28,14.533,14.751,18129360,0.0,1.0
2018-03-23 00:00:00+00:00,141.66,147.66,141.0,145.98,1856714,14.166,14.766,14.1,14.598,18567140,0.0,1.0
2018-03-26 00:00:00+00:00,136.72,147.82,130.5,145.26,5249818,13.672,14.782,13.05,14.526,52498180,0.0,1.0
2018-03-27 00:00:00+00:00,128.82,139.13,127.21,136.25,2833288,12.882,13.913,12.721,13.625,28332880,0.0,1.0
2018-03-28 00:00:00+00:00,121.6,127.75,120.68,127.5,3657489,12.16,12.775,12.068,12.75,36574890,0.0,1.0
2018-03-29 00:00:00+00:00,124.59,126.28,118.57,120.9,2966567,12.459,12.628,11.857,12.09,29665670,0.0,1.0
2018-04-02 00:00:00+00:00,122.08,127.5,120.3,124.71,1843422,12.208,12.75,12.03,12.471,18434220,0.0,1.0
2018-04-03 00:00:00+00:00,119.37,125.48,117.8,124.0,1823985,11.937,12.548,11.78,12.4,18239850,0.0,1.0
