Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,144.509003,144.509003,144.509003,144.509003,116.243622,0
2008-01-03,144.507996,144.507996,144.507996,144.507996,116.242828,0
2008-01-04,140.960007,140.960007,140.960007,140.960007,113.388802,0
2008-01-07,141.416000,141.416000,141.416000,141.416000,113.755638,0
2008-01-08,138.867996,138.867996,138.867996,138.867996,111.705994,0
2008-01-09,140.768997,140.768997,140.768997,140.768997,113.235161,0
2008-01-10,141.889999,141.889999,141.889999,141.889999,114.136909,0
2008-01-11,139.968994,139.968994,139.968994,139.968994,112.591621,0
2008-01-14,141.488998,141.488998,141.488998,141.488998,113.814301,0
2008-01-15,137.966995,137.966995,137.966995,137.966995,110.981224,0
2008-01-16,137.210999,137.210999,137.210999,137.210999,110.373100,0
2008-01-17,133.229004,133.229004,133.229004,133.229004,107.169968,0
2008-01-18,132.427002,132.427002,132.427002,132.427002,106.524818,0
2008-01-22,130.966003,130.966003,130.966003,130.966003,105.349602,0
2008-01-23,133.774994,133.774994,133.774994,133.774994,107.609131,0
2008-01-24,135.121002,135.121002,135.121002,135.121002,108.691864,0
2008-01-25,132.981003,132.981003,132.981003,132.981003,106.970459,0
2008-01-28,135.315002,135.315002,135.315002,135.315002,108.847931,0
2008-01-29,136.153000,136.153000,136.153000,136.153000,109.522034,0
2008-01-30,135.514008,135.514008,135.514008,135.514008,109.007980,0
2008-01-31,137.806000,137.806000,137.806000,137.806000,110.851715,0
2008-02-01,139.488007,139.488007,139.488007,139.488007,112.204727,0
2008-02-04,138.033005,138.033005,138.033005,138.033005,111.034286,0
2008-02-05,133.636993,133.636993,133.636993,133.636993,107.498116,0
2008-02-06,132.673996,132.673996,132.673996,132.673996,106.723541,0
2008-02-07,133.751007,133.751007,133.751007,133.751007,107.589836,0
2008-02-08,133.190994,133.190994,133.190994,133.190994,107.139374,0
2008-02-11,133.977997,133.977997,133.977997,133.977997,107.772446,0
2008-02-12,134.955002,134.955002,134.955002,134.955002,108.558334,0
2008-02-13,136.837006,136.837006,136.837006,136.837006,110.072258,0
2008-02-14,135.009003,135.009003,135.009003,135.009003,108.601830,0
2008-02-15,135.128998,135.128998,135.128998,135.128998,108.698341,0
2008-02-19,135.018005,135.018005,135.018005,135.018005,108.609055,0
