Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,130.343002,130.343002,130.343002,130.343002,101.343849,0
2008-01-03,130.470001,130.470001,130.470001,130.470001,101.442589,0
2008-01-04,127.906998,127.906998,127.906998,127.906998,99.449806,0
2008-01-07,128.179001,128.179001,128.179001,128.179001,99.661339,0
2008-01-08,125.865997,125.865997,125.865997,125.865997,97.862930,0
2008-01-09,127.324997,127.324997,127.324997,127.324997,98.997276,0
2008-01-10,128.500000,128.500000,128.500000,128.500000,99.910973,0
2008-01-11,126.035004,126.035004,126.035004,126.035004,97.994308,0
2008-01-14,127.750000,127.750000,127.750000,127.750000,99.327782,0
2008-01-15,124.984001,124.984001,124.984001,124.984001,97.177185,0
2008-01-16,124.663002,124.663002,124.663002,124.663002,96.927559,0
2008-01-17,121.626999,121.626999,121.626999,121.626999,94.567032,0
2008-01-18,120.887001,120.887001,120.887001,120.887001,93.991699,0
2008-01-22,119.607002,119.607002,119.607002,119.607002,92.996483,0
2008-01-23,122.592003,122.592003,122.592003,122.592003,95.317329,0
2008-01-24,123.674004,123.674004,123.674004,123.674004,96.158646,0
2008-01-25,121.960999,121.960999,121.960999,121.960999,94.826729,0
2008-01-28,123.724998,123.724998,123.724998,123.724998,96.198311,0
2008-01-29,124.685997,124.685997,124.685997,124.685997,96.945488,0
2008-01-30,124.311996,124.311996,124.311996,124.311996,96.654678,0
2008-01-31,126.408997,126.408997,126.408997,126.408997,98.285088,0
2008-02-01,127.334000,127.334000,127.334000,127.334000,99.004364,0
2008-02-04,126.254997,126.254997,126.254997,126.254997,98.165375,0
2008-02-05,122.570999,122.570999,122.570999,122.570999,95.301010,0
2008-02-06,122.026001,122.026001,122.026001,122.026001,94.877312,0
2008-02-07,122.522003,122.522003,122.522003,122.522003,95.262909,0
2008-02-08,121.873001,121.873001,121.873001,121.873001,94.758347,0
2008-02-11,122.450996,122.450996,122.450996,122.450996,95.207764,0
2008-02-12,123.781998,123.781998,123.781998,123.781998,96.242607,0
2008-02-13,125.646004,125.646004,125.646004,125.646004,97.691849,0
2008-02-14,123.896004,123.896004,123.896004,123.896004,96.331261,0
2008-02-15,123.372002,123.372002,123.372002,123.372002,95.923813,0
2008-02-19,123.274002,123.274002,123.274002,123.274002,95.847603,0
2008-02-20,124.212997,124.212997,124.212997,124.212997,96.577698,0
2008-02-21,122.809998,122.809998,122.809998,122.809998,95.486862,0
2008-02-22,123.807999,123.807999,123.807999,123.807999,96.262825,0
2008-02-25,125.697998,125.697998,125.697998,125.697998,97.732338,0
2008-02-26,126.843002,126.843002,126.843002,126.843002,98.622566,0
2008-02-27,126.935997,126.935997,126.935997,126.935997,98.694855,0
2008-02-28,125.846001,125.846001,125.846001,125.846001,97.847389,0
2008-02-29,122.691002,122.691002,122.691002,122.691002,95.394348,0
